CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Brownsville,Washington Park,TX,US,2018-03-24,,,,,,,March for Our Lives ,support gun control,,march,0,0,0,0,1,1,https://twitter.com/jmikeseifert/status/977636249744891905,https://www.facebook.com/groups/179522096000013/,,
College Station,Rudder Plaza; Texas A&M,TX,US,2018-03-24,more than 1500,1500,,1500,,,March for Our Lives ,support gun control,1,march,0,0,0,0,1,1,http://www.theeagle.com/news/local/march-against-gun-violence-draws-hundreds-to-texas-a-m/article_1550d787-e454-574b-8b95-bd03ee827be0.html,,,
Corpus Christi,Shoreline Blvd.,TX,US,2018-03-24,more than 300,300,,300,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,https://www.caller.com/story/news/education/2018/03/24/corpus-christi-residents-attend-local-march-our-lives-rally-sherill-park/438669002/,,,
Dallas,city hall,TX,US,2018-03-24,estimated 4000; at least 5000,4000,,5000,,,March for Our Lives ,support gun control,1,rally,0,0,0,0,1,1,https://twitter.com/wfaa/status/977617110271741952,https://www.nbcdfw.com/news/local/March-For-Our-Lives-477737693.html,,
Denton,Courthouse on the Square,TX,US,2018-03-24,several hundred,300,,300,,,March for Our Lives ,support gun control,1,rally,0,0,0,0,1,1,http://www.dentonrc.com/news/news/2018/03/24/several-hundred-gather-solidarity-march-lives,,,
El Paso,Cleveland Square Park to San Jacinto Plaza.,TX,US,2018-03-24,several hundred,300,,300,,,March for Our Lives ,support gun control,1,rally,0,0,0,0,1,1,https://www.elpasotimes.com/story/news/local/el-paso/2018/03/24/2018-march-our-lives-local-downtown-rally-gun-control-beto/456353002/,,,
Ft. Worth,Tarrant County Courthouse,TX,US,2018-03-24,between 6 and 7 thousand,6000,,7000,,,March for Our Lives ,support gun control,1,rally,0,0,0,0,1,1,https://twitter.com/wfaa/status/977587931740278784,http://dfw.cbslocal.com/2018/03/24/march-for-our-lives-thousands-north-texas/,,
Galveston,Fort Crockett Park,TX,US,2018-03-24,FB: 58,58,,58,,,general protestors,support gun control,1,march,0,0,0,0,1,1,https://www.facebook.com/events/577558392595970/,,,
Houston,downtown,TX,US,2018-03-24,nearly 15000,15000,,15000,,,march for our lives,support gun control,1,march,0,0,0,0,1,1,https://www.chron.com/news/houston-texas/houston/article/Thousands-expected-for-downtown-Houston-gun-12778178.php,,,
Huntsville,downtown,TX,US,2018-03-24,about 70,70,,70,,,Walker County Democrat Club,support gun control,1,march,0,0,0,0,1,1,http://www.itemonline.com/news/local_news/walker-co-democrats-holding-march-for-our-lives-event/article_2c9a29dd-f005-58a6-bc90-5809e848f91e.html,https://twitter.com/WalkerCDems/status/977589520819515393,http://houstonianonline.com/2018/03/28/march-for-our-lives-storms-huntsville/,
Kerrville,Kerr County Courthouse,TX,US,2018-03-24,about 100,100,,100,,,general protestors,support gun control,1,march,0,0,0,0,1,1,http://dailytimes.com/news/article_50d72282-306e-11e8-aa9a-dbf42254a761.html,,,
Killeen,Killeen Community Center,TX,US,2018-03-24,about 200,200,,200,,,general protestors,support gun control,1,march,0,0,0,0,1,1,http://www.kwtx.com/content/news/Hundreds-join-March-for-Our-Lives-rally-in-Killeen-477873173.html,,,
