store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,store_name_l,store
Dollar General 1466,st_150996,6400,Maccorkle Ave,NA,Saint Albans,WV,25177,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-81.79222,38.38023,usda,NA,NA,CO,L204547,dollar general 1466,Dollar General
Dollar General 14660,st_343291,101,Salt Creek Rd,NA,Poolville,TX,76487,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-97.86475,33.02325,usda,NA,NA,CO,L204548,dollar general 14660,Dollar General
Dollar General 14661,st_343306,1940,McHenry Ave,NA,Escalon,CA,95320,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-120.99653,37.79244,usda,NA,NA,CO,L204549,dollar general 14661,Dollar General
Dollar General 14662,st_329179,55,York St,NA,Wellsville,PA,17365,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-76.93591,40.05161,usda,NA,NA,CO,L121159,dollar general 14662,Dollar General
Dollar General 14663,st_342761,1024,S Main St,NA,Belle Glade,FL,33430,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-80.67059,26.67255,usda,NA,NA,CO,L204550,dollar general 14663,Dollar General
Dollar General 14664,st_331694,2300,Valley Pike,NA,Dayton,OH,45404,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.1422,39.79039,usda,NA,NA,CO,L204551,dollar general 14664,Dollar General
Dollar General 14665,st_337117,108,E South St,NA,Gratis,OH,45330,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.52654,39.64788,usda,NA,NA,CO,L204552,dollar general 14665,Dollar General
Dollar General 14666,st_342763,2302,US Highway 70 E,NA,New Bern,NC,28560,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-77.02212,35.065,usda,NA,NA,CO,L204553,dollar general 14666,Dollar General
Dollar General 14667,st_354422,12355,N Tirco Rd,NA,Marana,AZ,85653,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-111.35991,32.42931,usda,NA,NA,CO,L204554,dollar general 14667,Dollar General
Dollar General 14668,st_340953,512,S OBannon St,NA,Youngstown,IL,62560,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-89.58149,39.31967,usda,NA,NA,CO,L204555,dollar general 14668,Dollar General
Dollar General 14669,st_334977,111,Bellen Rd,NA,Broadalbin,NY,12025,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-74.21107,43.04772,usda,NA,NA,CO,L204556,dollar general 14669,Dollar General
DOLLAR GENERAL 1467,st_146934,3619,Stadium Blvd,NA,Jonesboro,AR,72404,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-90.66965,35.79829,usda,NA,NA,CO,L204557,dollar general 1467,Dollar General
Dollar General 14670,st_343308,9849,Stephens St,NA,Delhi,CA,95315,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-120.77804,37.43174,usda,NA,NA,CO,L204558,dollar general 14670,Dollar General
Dollar General 14671,st_331695,401,W Bridge St,NA,Rockford,OH,45882,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.65044,40.69531,usda,NA,NA,CO,L204559,dollar general 14671,Dollar General
Dollar General 14672,st_328351,286,Spout Springs Rd,NA,Irvine,KY,40336,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.00871,37.78428,usda,NA,NA,CO,L204560,dollar general 14672,Dollar General
