CD,Cluster,Very low density,Low density,Medium density,High density,Incumbent,Party,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538,Pure rural,Rural-suburban mix,Sparse suburban,Dense suburban,Urban-suburban mix,Pure urban
OH-16,Sparse suburban,0.130353491,0.503469754,0.336508016,0.029668739,James Renacci,R,0.395,0.562,0.452,0.534,0.472,0.513,0.653293753,0.346706247,0,8,Solid R,3,0,0.0395,0,0.026697006,0.094961239,0.799020118,0.050538082,0.021174953,0.007608601
OK-01,Sparse suburban,0.117008882,0.378093683,0.443568996,0.061328439,Vacant,Vacant,0.327,0.614,0.342,0.658,0.358,0.642,0,0,0,17,Solid R,3,0,0.0019,0,0.018826487,0.057708593,0.792751931,0.101236436,0.022845036,0.006631516
OK-02,Pure rural,0.752290424,0.204468063,0.043241513,0,Markwayne Mullin,R,0.228,0.729,0.322,0.678,0.343,0.657,0.706062409,0.232034069,0.061903522,24,Solid R,3,0,0.0027,0,0.724334504,0.135110357,0.050896032,0.037267704,0.032180376,0.020211028
OK-03,Pure rural,0.646045057,0.247440168,0.095434101,0.011080674,Frank Lucas,R,0.209,0.736,0.261,0.739,0.271,0.729,0.782908659,0.217091341,0,27,Solid R,3,0,2.00E-04,0,0.918816302,0.047137492,0.013499716,0.009054571,0.00734264,0.004149279
OK-04,Rural-suburban mix,0.37669733,0.290139429,0.307866037,0.025297204,Tom Cole,R,0.283,0.657,0.329,0.671,0.339,0.661,0.696284649,0.260828339,0.042887011,20,Solid R,3,0,1.00E-04,0,0.118709062,0.681050341,0.112246198,0.052017445,0.026167232,0.009809721
OK-05,Dense suburban,0.140506953,0.229244512,0.5047514,0.125497134,Steve Russell,R,0.398,0.532,0.408,0.592,0.408,0.592,0.570923477,0.368082831,0.060993691,10,Solid R,3,0,0.1444,0,0.030472371,0.071433605,0.194841886,0.631699284,0.058006856,0.013545998
OR-01,Dense suburban,0.1631077,0.168371621,0.457880793,0.210639886,Suzanne Bonamici,D,0.573,0.345,0.573,0.4,0.596,0.377,0.369631971,0,0.630368029,-9,Solid D,-3,0,0.9996,0,0.032398119,0.068577861,0.126767592,0.660217948,0.094634446,0.017404033
OR-02,Rural-suburban mix,0.450337424,0.335399622,0.188271405,0.025991549,Greg Walden,R,0.364,0.565,0.405,0.568,0.433,0.538,0,0.280086884,0.719913116,11,Solid R,3,0,0.002,0,0.240093673,0.676282833,0.043352607,0.020538367,0.013618326,0.006114194
OR-03,Urban-suburban mix,0.061712155,0.097134116,0.261532369,0.57962136,Earl Blumenauer,D,0.707,0.225,0.72,0.247,0.729,0.243,0,0.718408285,0.281591715,-24,Solid D,-3,0,1,0,0.016839299,0.023951222,0.030045724,0.054533786,0.79824327,0.076386699
OR-04,Rural-suburban mix,0.389540477,0.273437283,0.25864393,0.07837831,Peter DeFazio,D,0.461,0.46,0.517,0.45,0.542,0.427,0,0,1,0,Solid D,-3,0,0.9948,0,0.139583786,0.690498494,0.087445497,0.045520211,0.026827833,0.010124179
OR-05,Dense suburban,0.230077302,0.188217153,0.474251095,0.10745445,Kurt Schrader,D,0.483,0.441,0.505,0.471,0.53,0.442,0.430017582,0,0.569982418,0,Solid D,-3,0,0.9977,0,0.069289953,0.160821939,0.247551711,0.41205104,0.087601903,0.022683454
PA-01,Sparse suburban,0.040683127,0.458871128,0.433227522,0.067218223,Robert Brady,D,0.491,0.471,0.502,0.486,0.539,0.45,0.177911424,0.82168073,4.08E-04,1,Tossup,0,1,0.1766,1,0.021672912,0.059310094,0.778531636,0.101315917,0.029847028,0.009322413
PA-02,Pure urban,0.006140196,0.00469436,0.059575371,0.929590073,Dwight Evans,D,0.729,0.249,0.774,0.218,0.731,0.261,0.098190528,0.901420969,3.89E-04,-25,Solid D,-3,0,1,0,0.001179049,0.001370771,0.001483329,0.001984637,0.005448557,0.988533658
PA-03,Pure urban,0.001575601,0.015438526,0.033129499,0.949856375,Mike Kelly,R,0.909,0.07,0.917,0.076,0.918,0.078,0.972086931,0,0.027913069,-41,Solid D,-3,1,1,1,0.00351735,0.004064263,0.004373274,0.00572643,0.015053666,0.967265017
PA-04,Sparse suburban,0.015764292,0.465198904,0.353934306,0.165102499,Scott Perry,R,0.578,0.385,0.561,0.428,0.595,0.396,0.659997726,0,0.340002274,-7,Solid D,-3,1,0.9973,1,0.030476685,0.081369136,0.674615486,0.140269365,0.05679976,0.016469568
PA-05,Urban-suburban mix,5.02E-06,0.184285983,0.292334294,0.5233747,Glenn Thompson,R,0.626,0.344,0.634,0.357,0.628,0.363,0.670798849,0.327942355,0.001258796,-13,Likely D,-2,1,0.9999,1,0.01020228,0.016206144,0.024368208,0.046643538,0.871616828,0.030963002
PA-06,Sparse suburban,0.08523152,0.51995198,0.25214,0.1426765,Ryan Costello,R,0.526,0.433,0.51,0.478,0.557,0.434,0.571924379,0.427284456,7.91E-04,-2,Likely D,-2,1,0.985,1,0.050391494,0.153289449,0.620340929,0.099590937,0.056426641,0.01996055
PA-07,Sparse suburban,0.088712109,0.368423919,0.341038594,0.201825378,Vacant,Vacant,0.487,0.476,0.529,0.459,0.566,0.421,0,0.405174253,3.87E-04,-1,Lean D,-1,1,0.9331,0,0.032649101,0.09531045,0.587739803,0.197135032,0.070752753,0.016412861
PA-08,Rural-suburban mix,0.327584596,0.336832435,0.179376221,0.156206748,Brian Fitzpatrick,R,0.437,0.533,0.553,0.434,0.567,0.423,0.544194485,0.455689987,1.16E-04,1,Likely D,-2,1,0.8655,1,0.122774823,0.638741985,0.127416278,0.055648913,0.040298003,0.015119998
PA-09,Pure rural,0.475206285,0.267010218,0.193172755,0.064610743,Bill Shuster,R,0.31,0.65,0.412,0.572,0.456,0.53,0.628037861,0,0.371962139,14,Solid R,3,0,0.0055,0,0.448575178,0.425825787,0.057847865,0.033612788,0.023624191,0.010514192
PA-10,Sparse suburban,0.118043587,0.447786032,0.31033161,0.123838771,Tom Marino,R,0.434,0.523,0.46,0.526,0.486,0.503,0.700695117,0,0.299304883,6,Lean R,1,1,0.232,0,0.016365276,0.059154387,0.8570793,0.043239988,0.0184488,0.005712248
PA-11,Sparse suburban,0.215132954,0.477855199,0.219452477,0.08755937,Lou Barletta,R,0.347,0.605,0.38,0.605,0.42,0.571,0.636221231,0.363060942,7.18E-04,14,Solid R,3,0,0.0475,0,0.073674345,0.389327691,0.413623949,0.068838638,0.039512556,0.015022822
PA-12,Pure rural,0.700932725,0.111225909,0.128831748,0.059009618,Keith Rothfus,R,0.297,0.661,0.368,0.615,0.417,0.57,0.61708756,0.382052944,8.59E-04,17,Solid R,3,0,2.00E-04,0,0.647741015,0.165858668,0.063931029,0.051757447,0.044630988,0.026080853
PA-13,Pure rural,0.587768271,0.17528706,0.195255551,0.041689118,Brendan Boyle,D,0.255,0.712,0.321,0.666,0.37,0.618,0,0.999010657,9.89E-04,22,Solid R,3,1,0,1,0.694276101,0.176245478,0.050396504,0.036985313,0.028055404,0.014041199
PA-14,Rural-suburban mix,0.308950505,0.445932497,0.187020441,0.058096557,Michael Doyle,D,0.339,0.629,0.406,0.583,0.447,0.542,0,0.742553897,0.257446103,14,Likely R,2,1,0.0084,1,0.070124314,0.76318631,0.110617658,0.029843538,0.01854208,0.007686099
PA-15,Pure rural,0.707454095,0.15146432,0.131239673,0.009841913,Vacant,Vacant,0.265,0.698,0.357,0.626,0.426,0.558,0.583414951,0.379915404,0.036669646,20,Solid R,3,0,0,0,0.712077176,0.143554545,0.052257779,0.039993699,0.032978962,0.01913784
PA-16,Rural-suburban mix,0.404441819,0.253313353,0.250301144,0.091943684,Lloyd Smucker,R,0.379,0.579,0.469,0.517,0.496,0.49,0.536620673,0.428185558,0.035193769,8,Lean R,1,1,0.0352,0,0.192191407,0.608053301,0.096312188,0.055597658,0.034621945,0.013223501
PA-17,Sparse suburban,0.056733691,0.458357701,0.343263695,0.141644914,Matt Cartwright,D,0.468,0.494,0.472,0.517,0.486,0.505,0.461476602,0.537477298,0.0010461,3,Likely D,-2,1,0.8785,0,0.020016172,0.059336545,0.802942685,0.077992569,0.030637559,0.00907447
